[str];[str];[char];[str];[double];[double];[boolean]
Almeria;;{E};Spanien;36.834047;-2.4637136;2
Balgzand;;{E};Holland;52.8982381;4.845275;2
Beregdaroc;;{E};Ungarn;48.1985108;22.5320069;2
Budince;;{E};Slowakei;48.5448153;22.1227244;2
Cordoba;;{E};Spanien;37.8881751;-4.7793835;2
Dornum;;{E};Deutschland;53.6459028;7.4304511;2
Drozdwicze;;{E};Polen;49.8087968;23.6441847;2
Dunkerque;;{E};Frankreich;51.0343684;2.3767763;2
Emden;;{E};Deutschland;53.3594029;7.2060095;2
Gela;;{E};Italien;37.0741526;14.2403537;2
Greifswald;;{E};Deutschland;54.716599;13.3923414;2
Imatra;;{E};Finnland;61.1695977;28.7645463;2
Isaccea;;{E};Rumanien;45.265423;28.4607273;2
Kipi;Border Crossing Point;{E};Griechenland;40.9450804;26.3110854;2
Komotini;;{E};Griechenland;41.1224394;25.4065582;2
Kondratki;;{E};Polen;53.0156509;23.910169;2
Korneti;;{E};Lettland;57.5928519;26.9434759;2
Kotlovka;;{E};Litauen;54.716599;25.7475233;2
MazaraDelVallo;;{E};Italien;37.6550933;12.5899615;2
MediesuAurit;;{E};Rumanien;47.786743;23.1376644;2
Narva;;{E};Estland;59.3796931;28.1790751;2
Nybro;;{E};Daenemark;56.247698;8.878005;2
Sakiai;;{E};Litauen;54.952671;23.0480199;2
StFurgus_E_1;;{E};Grossbritanian;57.580687;-1.830286;1
StFurgus_E_2;;{E};Grossbritanian;57.575091;-1.82705;1
Varska;;{E};Estland;57.9570536;27.6375433;2
Wysokoje;;{E};Polen;52.367978;23.3759718;2
ZaharaDeLosAtunes;;{E};Spanien;36.128832;-5.833539;1
Zeebrugge;;{E};Belgien;51.3189468;3.2068507;2
